id,prk_place_nm,prk_style,prk_type,location,address,prk_charge_info,rating,five_days_system,open_days,weekday_open_hhmm,weekday_colse_hhmm,sat_oper_open_hhmm,sat_close_hhmm,holiday_open_hhmm,holiday_close_hhmm,fee,basic_time,basic_fee,additional_time,additional_fee,daily_ticket_applicable_time,daily_ticket_fee,monthly_pass_fee,payment_method,special_notes,management_agency,phone_number,data_standard_date
14,공영주차장(감전중고차시장),공영,노상,부산광역시 사상구 학감대로221번길 26,부산광역시 사상구 감전동 156-1,94,4,미시행,평일+토요일,8:00,20:00,8:00,15:00,0:00,0:00,유료,10,100,10,100,0,2400,30000,현금,-,부산광역시 사상구청,051-310-4515,2023-05-09
15,감전시장주변,공영,노상,부산광역시 사상구 대동로 303,부산광역시 사상구 감전동 132-7,108,4,미시행,평일+토요일,8:00,20:00,8:00,15:00,0:00,0:00,유료,10,100,10,100,0,2400,30000,현금,-,부산광역시 사상구청,051-310-4515,2023-05-09
16,파라곤호텔주변,공영,노상,부산광역시 사상구 광장로 34,부산광역시 사상구 괘법동 565-6,51,4,미시행,평일+토요일,8:00,20:00,8:00,15:00,0:00,0:00,유료,10,100,10,100,0,2400,30000,현금,-,부산광역시 사상구청,051-310-4515,2023-05-09
17,학장지구대주변,공영,노상,부산광역시 사상구 대동로 205,부산광역시 사상구 학장동 242-1,196,4,미시행,평일+토요일,8:00,20:00,8:00,15:00,0:00,0:00,유료,10,100,10,100,0,2400,30000,현금,-,부산광역시 사상구청,051-310-4515,2023-05-09
18,한국강관주변,공영,노상,부산광역시 사상구 장인로17번길 78,부산광역시 사상구 감전동 949-7,333,4,미시행,평일+토요일,8:00,20:00,8:00,15:00,0:00,0:00,유료,10,100,10,100,0,2400,30000,현금,-,부산광역시 사상구청,051-310-4515,2023-05-09
19,위생처리장주변,공영,노상,부산광역시 사상구 낙동대로943번길 157,부산광역시 사상구 감전동 509-11,228,4,미시행,평일+토요일,8:00,20:00,8:00,15:00,0:00,0:00,유료,10,100,10,100,0,2400,30000,현금,-,부산광역시 사상구청,051-310-4515,2023-05-09
20,동영공업주변,공영,노상,부산광역시 사상구 학장로95번길 51,부산광역시 사상구 학장동 748-1,414,4,미시행,평일+토요일,8:00,20:00,8:00,15:00,0:00,0:00,유료,10,100,10,100,0,2400,30000,현금,-,부산광역시 사상구청,051-310-4515,2023-05-09
21,공영주차장(주례역),공영,노상,부산광역시 사상구 가야대로 288,부산광역시 사상구 주례동 506,8,2,미시행,평일+토요일,8:00,20:00,8:00,15:00,0:00,0:00,유료,10,300,10,300,0,8000,90000,현금,-,부산광역시 사상구청,051-310-4515,2023-05-09
22,공영주차장(사상초등학교),공영,노상,부산광역시 사상구 운산로 81,부산광역시 사상구 덕포동 752-3,31,4,미시행,평일+토요일,8:00,20:00,8:00,15:00,0:00,0:00,유료,10,100,10,100,0,2400,30000,현금,-,부산광역시 사상구청,051-310-4515,2023-05-09
23,공영주차장(사상전화국),공영,노상,부산광역시 사상구 가야대로176번길 53,부산광역시 사상구 학장동 281-9,268,4,미시행,평일+토요일,8:00,20:00,8:00,15:00,0:00,0:00,유료,10,100,10,100,0,2400,30000,현금,-,부산광역시 사상구청,051-310-4515,2023-05-09
24,해표사료주변,공영,노상,부산광역시 사상구 새벽시장로9번길 28,부산광역시 사상구 감전동 127-1,93,4,미시행,평일+토요일,8:00,20:00,8:00,15:00,0:00,0:00,유료,10,100,10,100,0,2400,30000,현금,-,부산광역시 사상구청,051-310-4515,2023-05-09
25,공영주차장(신일금속),공영,노상,부산광역시 사상구 장인로77번길 116,부산광역시 사상구 학장동 723-1,377,4,미시행,평일+토요일,8:00,20:00,8:00,15:00,0:00,0:00,유료,10,100,10,100,0,2400,30000,현금,-,부산광역시 사상구청,051-310-4515,2023-05-09
26,모라1동행정복지센터주변,공영,노상,부산광역시 사상구 백양대로 949-7,부산광역시 사상구 모라동 1347-4,157,4,미시행,평일+토요일,8:00,20:00,8:00,15:00,0:00,0:00,유료,10,100,10,100,0,2400,30000,현금,-,부산광역시 사상구청,051-310-4515,2023-05-09
27,삼락재첩거리주변,공영,노상,부산광역시 사상구 낙동대로1518번길 33,부산광역시 사상구 삼락동 70-21,136,4,미시행,평일+토요일,8:00,20:00,8:00,15:00,0:00,0:00,유료,10,100,10,100,0,2400,30000,현금,-,부산광역시 사상구청,051-310-4515,2023-05-09
28,엄궁외식1번가주변,공영,노상,부산광역시 사상구 농산물시장로 36,부산광역시 사상구 엄궁동 652-7,73,4,미시행,평일+토요일,8:00,20:00,8:00,15:00,0:00,0:00,유료,10,100,10,100,0,2400,30000,현금,-,부산광역시 사상구청,051-310-4515,2023-05-09
29,학장동행정복지센터주변,공영,노상,부산광역시 사상구 학감대로147번길 11,부산광역시 사상구 학장동 386-1,112,4,미시행,평일+토요일,8:00,20:00,8:00,15:00,0:00,0:00,유료,10,100,10,100,0,2400,30000,현금,-,부산광역시 사상구청,051-310-4515,2023-05-09
30,동서고가도로밑주변,공영,노상,부산광역시 사상구 백양대로445번길 2,부산광역시 사상구 주례동 394,90,4,미시행,평일+토요일,8:00,20:00,8:00,15:00,0:00,0:00,유료,10,100,10,100,0,2400,30000,현금,-,부산광역시 사상구청,051-310-4515,2023-05-09
31,동신운수옆복개공영주차장,공영,노상,부산광역시 사상구 가야대로230번길 3,부산광역시 사상구 주례동 1160-53,91,4,미시행,평일+토요일,8:00,20:00,8:00,15:00,0:00,0:00,유료,10,100,10,100,0,2400,30000,현금,-,부산광역시 사상구청,051-310-4515,2023-05-09
32,주례오거리공영주차장,공영,노상,부산광역시 사상구 가야대로255번길 17,부산광역시 사상구 주례동 437-1,74,4,미시행,평일+토요일,8:00,20:00,8:00,15:00,0:00,0:00,유료,10,100,10,100,0,2400,30000,현금,-,부산광역시 사상구청,051-310-4515,2023-05-09
33,황금로 공영주차장,공영,노외,-,부산광역시 연제구 연산동 1811-561,54,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,10,100,100,0,0,0,0,-,-,부산광역시 연제구청,051-665-5032,2023-04-19
34,연일 공영주차장,공영,노외,부산광역시 연제구 고분로20번길 20-8,부산광역시 연제구 연산동 768-5,23,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,10,100,100,0,0,0,0,-,-,부산광역시 연제구청,051-665-5032,2023-04-19
35,과정 공영주차장,공영,노외,부산광역시 연제구 과정로265번길 20,부산광역시 연제구 연산동 1062-1,53,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,10,100,100,0,0,0,0,-,-,부산광역시 연제구청,051-665-5032,2023-04-19
36,연산3동 금련 공영주차장,공영,노외,부산광역시 연제구 금련로38번길 50,부산광역시 연제구 연산동 420-4,130,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,10,100,100,0,0,0,0,-,-,부산광역시 연제구청,051-665-5032,2023-04-19
37,구)대연3동주민센터 주변,공영,노상,-,부산광역시 남구 대연동 393-27번지,8,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,대연3동 주민자치위원회,051-607-6644,2023-05-25
38,대연천 구거복개지,공영,노상,-,부산광역시 남구 대연동 1635-55번지,6,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,대연3동 주민자치위원회,051-607-6644,2023-05-25
39,수영로325번길(번영로 아래),공영,노상,-,부산광역시 남구 대연동 217-6번지,16,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,대연3동 주민자치위원회,051-607-6644,2023-05-25
40,대흥택시 주변,공영,노상,-,부산광역시 남구 대연동 1018번지,12,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,대연3동 주민자치위원회,051-607-6644,2023-05-25
41,수영로266번길(글로리빌라 앞),공영,노상,-,부산광역시 남구 대연동 548-6번지,5,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,대연3동 주민자치위원회,051-607-6644,2023-05-25
42,부산공고담장주변,공영,노상,-,부산광역시 남구 대연동 1195-160번지,28,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,대연4동 주민자치위원회,051-607-6662,2023-05-25
43,문화회관진입로,공영,노상,-,부산광역시 남구 대연동 848-4번지,19,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,대연4동 주민자치위원회,051-607-6662,2023-05-25
44,대연극동아파트 옆,공영,노상,-,부산광역시 남구 대연동 282-5번지,12,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,대연5동 주민자치위원회,051-607-6688,2023-05-25
45,사슴빌라 주변,공영,노상,-,부산광역시 남구 대연동 1487-15번지,5,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,대연5동 주민자치위원회,051-607-6688,2023-05-25
46,유엔평화로 9번길(항도빌라 주변),공영,노상,부산광역시 남구 유엔평화로9번길 42,부산광역시 남구 대연동 1731-1번지,11,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,대연1동 주민자치위원회,051-607-6602,2023-05-25
47,제1주거지전용주차장,공영,노상,부산광역시 남구 유엔평화로9번길 53,부산광역시 남구 대연동 1728-3번지,12,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,대연1동 주민자치위원회,051-607-6602,2023-05-25
48,솔밭주거지전용주차장,공영,노외,부산광역시 남구 유엔평화로22번길 41,부산광역시 남구 대연동 1002-1번지,4,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,대연1동 주민자치위원회,051-607-6602,2023-05-25
49,대연1동 공영주차장,공영,노외,-,부산광역시 남구 대연동 1750-7번지,10,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,대연1동 주민자치위원회,051-607-6602,2023-05-25
50,양지아파트주변,공영,노외,-,부산광역시 남구 감만동 44-149번지,15,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,감만2동 청년회,051-607-6842,2023-05-25
51,감만2동 제1공영주차장,공영,노외,부산광역시 남구 석포로56번길 56-11,부산광역시 남구 감만동 3-47번지,22,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,감만2동 청년회,051-607-6842,2023-05-25
52,감만2동 제2공영주차장,공영,노외,-,부산광역시 남구 감만동 3-598번지,10,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,감만2동 청년회,051-607-6842,2023-05-25
53,새마을금고 주변,공영,노상,-,부산광역시 남구 우암동 189번지,16,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,우암동 청년회,051-607-6862,2023-05-25
54,당산로 공영주차장,공영,노외,-,부산광역시 남구 우암동 93-11번지,16,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,우암동 청년회,051-607-6862,2023-05-25
55,우암양달로 주거지주차장,공영,노상,-,부산광역시 남구 우암동 181-498번지,12,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,우암동 청년회,051-607-6862,2023-05-25
56,뉴서울아파트주변,공영,노상,-,부산광역시 남구 우암동 53-5번지,9,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,우암동 청년회,051-607-6862,2023-05-25
57,문현광원맨션 주변,공영,노상,-,부산광역시 남구 문현동 557-15번지,30,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,문현1동주민자치위원회,051-607-6906,2023-05-25
58,성암사 주변,공영,노상,-,부산광역시 남구 문현동 71-6번지,21,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,문현1동주민자치위원회,051-607-6906,2023-05-25
59,효성택시 진입로,공영,노상,부산광역시 남구 진남로188번길 13,부산광역시 남구 문현동 86-7번지,11,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,문현1동주민자치위원회,051-607-6906,2023-05-25
60,부림빌라 뒤,공영,노상,-,부산광역시 남구 문현동 31-85번지,6,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,문현1동주민자치위원회,051-607-6906,2023-05-25
61,감전중천주변,공영,노상,부산광역시 사상구 새벽시장로56번가길 63,부산광역시 사상구 감전동 150-1,189,4,미시행,평일+토요일,8:00,20:00,8:00,15:00,0:00,0:00,유료,10,100,10,100,0,2400,30000,현금,-,부산광역시 사상구청,051-310-4515,2023-05-09
62,유진맨션건너편,공영,노상,부산광역시 사상구 모라로 39,부산광역시 사상구 모라동 651-39,151,4,미시행,평일,8:00,0:00,0:00,0:00,0:00,0:00,유료,10,100,10,100,0,2400,52000,현금,-,부산광역시 사상구청,051-310-4515,2023-05-09
63,엄궁초등학교지하주차장,공영,노외,부산광역시 사상구 엄궁로191번길 23,부산광역시 사상구 엄궁동 47,93,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,10,100,10,100,0,2400,52000,현금,-,부산광역시 사상구청,051-310-4515,2023-05-09
64,중앙고교담장주변,공영,노상,-,부산광역시 남구 대연동 1779번지,35,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,대연6동 주민자치위원회,051-607-6704,2023-05-25
65,부산세무고등학교주변,공영,노상,-,부산광역시 남구 대연동 1801번지,29,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,대연6동 주민자치위원회,051-607-6704,2023-05-25
66,용호초등학교뒤 공영주차장,공영,노외,-,부산광역시 남구 용호동 66-3번지,19,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,용호1동 주민자치위원회,051-607-6734,2023-05-25
67,용호중앙교회앞 공영주차장,공영,노외,-,부산광역시 남구 용호동 409-25번지,14,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,용호1동 주민자치위원회,051-607-6734,2023-05-25
68,백운포체육공원앞공영주차장,공영,노상,-,부산광역시 남구 용호동 895-5번지,155,4,미시행,평일+토요일,9:00,18:00,9:00,15:00,0:00,0:00,유료,0,100,0,0,0,0,51360,카드결제,-,부산광역시 남구시설관리공단,051-601-3412,2023-05-25
69,이기대제1|제2공영주차장,공영,노외,-,부산광역시 남구 용호동 15-1번지,151,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,300,0,0,0,0,160000,카드결제,-,부산광역시 남구시설관리공단,051-601-3412,2023-05-25
70,오륙도수변공원 공영주차장,공영,노외,-,부산광역시 남구 용호동 산 196-4번지,13,2,미시행,평일+토요일+공휴일,9:00,18:00,9:00,18:00,9:00,18:00,유료,0,300,0,0,0,0,51360,카드결제,-,부산광역시 남구시설관리공단,051-601-3412,2023-05-25
71,진남로232번길 공영주차장,공영,노외,-,부산광역시 남구 문현동 53-11번지,28,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,문현1동주민자치위원회,051-607-6906,2023-05-25
72,문현1동 제2공영주차장,공영,노외,-,부산광역시 남구 문현동 54-59번지,37,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,문현1동주민자치위원회,051-607-6906,2023-05-25
73,문현1동 제3공영주차장,공영,노외,부산광역시 남구 문현로23번길 45,부산광역시 남구 문현동 125-7번지,14,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,문현1동주민자치위원회,051-607-6906,2023-05-25
74,성동중학교 담장 주변,공영,노상,-,부산광역시 남구 문현동 791-1번지,17,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,문현2동 주민자치위원회,051-607-6922,2023-05-25
75,E-마트 담벽 주변,공영,노상,부산광역시 남구 전포대로91번길 47,부산광역시 남구 문현동 751번지,18,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,문현2동 주민자치위원회,051-607-6922,2023-05-25
76,하이빌 주변,공영,노상,부산광역시 남구 전포대로110번길 26,부산광역시 남구 문현동 603번지,12,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,문현2동 주민자치위원회,051-607-6922,2023-05-25
77,신풍상사 주변,공영,노상,부산광역시 남구 자유평화로59번길 71,부산광역시 남구 문현동 738-1번지,9,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,문현2동 주민자치위원회,051-607-6922,2023-05-25
78,문현2동 주민센터 윗편,공영,노상,-,부산광역시 남구 문현동 552-8번지,13,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,문현2동 주민자치위원회,051-607-6922,2023-05-25
79,수영로69번길 공영주차장,공영,노외,-,부산광역시 남구 문현동 262-22번지,16,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,문현3동 새마을지도자협의회,051-607-6955,2023-05-25
80,수영로39번길(번영로 아래),공영,노상,-,부산광역시 남구 문현동 231-8번지,118,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,문현3동 주민자치위원회,051-607-6955,2023-05-25
81,구거복개지,공영,노상,-,부산광역시 남구 문현동 837-1번지,27,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,문현4동 새마을지도자협의회,051-607-6962,2023-05-25
82,현대오일뱅크주유소 옆,공영,노상,-,부산광역시 남구 문현동 876-8번지,29,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,문현4동 방위협의회,051-607-6962,2023-05-25
83,청호탕 주변,공영,노상,-,부산광역시 남구 문현동 655-149번지,25,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,문현4동바르게살기위원회,051-607-6962,2023-05-25
84,대송주택 주변,공영,노상,-,부산광역시 남구 문현동 270-41번지,17,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,문현4동바르게살기위원회,051-607-6962,2023-05-25
85,한일오피스텔주변,공영,노상,부산광역시 남구 지게골로  17,부산광역시 남구 문현동 838번지,51,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,문현4동 자유총연맹,051-607-6962,2023-05-25
86,스카이워크공영주차장,공영,노외,-,부산광역시 남구 용호동 950번지,45,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,300,0,0,0,0,160000,카드결제,-,부산광역시 남구시설관리공단,051-601-3412,2023-05-25
87,제2주거지전용주차장,공영,노상,부산광역시 남구 유엔로157번길 57,부산광역시 남구 대연동 1735-1번지,17,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,대연1동 주민자치위원회,051-607-6602,2023-05-25
88,남천중 진입로,공영,노상,-,부산광역시 남구 대연동 455-13번지,37,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,대연3동 주민자치위원회,051-607-6644,2023-05-25
89,대연성당 주변,공영,노상,-,부산광역시 남구 대연동 67-33번지,8,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,대연3동 주민자치위원회,051-607-6644,2023-05-25
90,동국제강 진입로,공영,노상,-,부산광역시 남구 감만동 602번지,47,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,감만1동 주민자치위원회,051-607-6822,2023-05-25
91,119안전센터 옆,공영,노상,-,부산광역시 남구 감만동 592-24번지,19,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,감만1동 주민자치위원회,051-607-6822,2023-05-25
92,감만동 홍곡로 공영주차장,공영,노외,-,부산광역시 남구 감만동 187-9번지,18,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,감만1동 주민자치위원회,051-607-6822,2023-05-25
93,국제아파트주변,공영,노상,-,부산광역시 남구 감만동 27-10번지,13,4,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,0,40000,0,0,0,0,40000,고지서+카드결제+자동이체,-,감만2동 청년회,051-607-6842,2023-05-25
